,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Trimestre (Código),Trimestre,Variável (Código),Variável,Referência temporal (Código),Referência temporal
1,3,Unidade da Federação,24,Cabeças,227893,11,Rondônia,201501,1º trimestre 2015,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
2,3,Unidade da Federação,23,Mil dúzias,1358,11,Rondônia,201501,1º trimestre 2015,29,Quantidade de ovos produzidos,115236,Total do trimestre
3,3,Unidade da Federação,,,...,11,Rondônia,201501,1º trimestre 2015,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
4,3,Unidade da Federação,24,Cabeças,221776,11,Rondônia,201502,2º trimestre 2015,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
5,3,Unidade da Federação,23,Mil dúzias,1280,11,Rondônia,201502,2º trimestre 2015,29,Quantidade de ovos produzidos,115236,Total do trimestre
6,3,Unidade da Federação,,,...,11,Rondônia,201502,2º trimestre 2015,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
7,3,Unidade da Federação,24,Cabeças,231113,11,Rondônia,201503,3º trimestre 2015,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
8,3,Unidade da Federação,23,Mil dúzias,1356,11,Rondônia,201503,3º trimestre 2015,29,Quantidade de ovos produzidos,115236,Total do trimestre
9,3,Unidade da Federação,,,...,11,Rondônia,201503,3º trimestre 2015,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
10,3,Unidade da Federação,24,Cabeças,211285,11,Rondônia,201504,4º trimestre 2015,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
11,3,Unidade da Federação,23,Mil dúzias,1258,11,Rondônia,201504,4º trimestre 2015,29,Quantidade de ovos produzidos,115236,Total do trimestre
12,3,Unidade da Federação,,,...,11,Rondônia,201504,4º trimestre 2015,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
13,3,Unidade da Federação,24,Cabeças,267629,11,Rondônia,201601,1º trimestre 2016,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
14,3,Unidade da Federação,23,Mil dúzias,1606,11,Rondônia,201601,1º trimestre 2016,29,Quantidade de ovos produzidos,115236,Total do trimestre
15,3,Unidade da Federação,,,...,11,Rondônia,201601,1º trimestre 2016,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
16,3,Unidade da Federação,24,Cabeças,294828,11,Rondônia,201602,2º trimestre 2016,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
17,3,Unidade da Federação,23,Mil dúzias,1769,11,Rondônia,201602,2º trimestre 2016,29,Quantidade de ovos produzidos,115236,Total do trimestre
18,3,Unidade da Federação,,,...,11,Rondônia,201602,2º trimestre 2016,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
19,3,Unidade da Federação,24,Cabeças,292572,11,Rondônia,201603,3º trimestre 2016,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
20,3,Unidade da Federação,23,Mil dúzias,1706,11,Rondônia,201603,3º trimestre 2016,29,Quantidade de ovos produzidos,115236,Total do trimestre
21,3,Unidade da Federação,,,...,11,Rondônia,201603,3º trimestre 2016,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
22,3,Unidade da Federação,24,Cabeças,304567,11,Rondônia,201604,4º trimestre 2016,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
23,3,Unidade da Federação,23,Mil dúzias,1887,11,Rondônia,201604,4º trimestre 2016,29,Quantidade de ovos produzidos,115236,Total do trimestre
24,3,Unidade da Federação,,,...,11,Rondônia,201604,4º trimestre 2016,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
25,3,Unidade da Federação,24,Cabeças,302941,11,Rondônia,201701,1º trimestre 2017,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
26,3,Unidade da Federação,23,Mil dúzias,1799,11,Rondônia,201701,1º trimestre 2017,29,Quantidade de ovos produzidos,115236,Total do trimestre
27,3,Unidade da Federação,,,...,11,Rondônia,201701,1º trimestre 2017,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
28,3,Unidade da Federação,24,Cabeças,293047,11,Rondônia,201702,2º trimestre 2017,1988,Número de cabeças de galinhas poedeiras nos estabelecimentos agropecuários,115236,Total do trimestre
29,3,Unidade da Federação,23,Mil dúzias,1764,11,Rondônia,201702,2º trimestre 2017,29,Quantidade de ovos produzidos,115236,Total do trimestre
30,3,Unidade da Federação,,,...,11,Rondônia,201702,2º trimestre 2017,9588,Quantidade de ovos produzidos para consumo,115236,Total do trimestre
